1- Agumon:

Lv Exp

01 0
02 11
03 33
04 71
05 180
06 267
07 385
08 542
09 742
10 990
11 1293
12 1654
13 2081
14 2578
15 3150
16 3804
17 4543
18 5375
19 6304
20 8085
21 9225
22 10477
23 11849
24 13345
25 14970
26 16731
27 18631
28 20678
29 22876
30 25230
31 27747
32 30430
33 33287
34 36322
35 39540
36 42948
37 46549
38 50351
39 54358
40 60775
41 65209
42 69863
43 74745
44 79859
45 85210
46 90805
47 96647
48 102744
49 109100
50 115720
51 122611
52 129776
53 137223
54 144956
55 152980
56 161302
57 169925
58 178857
59 188102
60 197665
61 207553
62 217769
63 228321
64 239213
65 250450
66 262039
67 273983
68 286290
69 298964
70 312010
71 325435
72 339242
73 353439
74 368030
75 383020
76 398416
77 414221
78 430443
79 447086
80 464155
81 481657
82 499595
83 517977
84 536807
85 556090
86 575833
87 596039
88 616716
89 637868
90 659500
91 681619
92 704228
93 727335
94 750944
95 775060
96 799690
97 824837
98 850509
99 876710


2- Guilmon

Lv Exp

01 0
02 9
03 26
04 55
05 151
06 219
07 311
08 433
09 588
10 781
11 1017
12 1298
13 1630
14 2016
15 2461
16 2970
17 3545
18 4192
19 4914
20 6466
21 7353
22 8327
23 9394
24 10557
25 11821
26 13191
27 14669
28 16261
29 17970
30 19801
31 21759
32 23846
33 26068
34 28428
35 30931
36 33582
37 36383
38 39340
39 42456
40 47936
41 51385
42 55005
43 58802
44 62779
45 66941
46 71293
47 75837
48 80579
49 85522
50 90671
51 96031
52 101604
53 107396
54 113410
55 119651
56 126124
57 132831
58 139778
59 146968
60 154406
61 162097
62 170043
63 178250
64 186721
65 195461
66 204475
67 213765
68 223337
69 233194
70 243341
71 253783
72 264522
73 275564
74 286912
75 298571
76 310546
77 322839
78 335456
79 348400
80 361676
81 375289
82 389241
83 403538
84 418183
85 433181
86 448537
87 464253
88 480335
89 496786
90 513611
91 530815
92 548400
93 566372
94 584734
95 603491
96 622648
97 642207
98 662174
99 682552

3- Kotemon

Lv Exp

01 0
02 10
03 29
04 63
05 166
06 243
07 348
08 487
09 665
10 886
11 1155
12 1476
13 1855
14 2297
15 2806
16 3387
17 4044
18 4783
19 5609
20 7276
21 8289
22 9402
23 10621
24 11951
25 13396
26 14961
27 16650
28 18469
29 20423
30 22516
31 24753
32 27138
33 29677
34 32375
35 35236
36 38265
37 41466
38 44845
39 48407
40 54356
41 58297
42 62434
43 66773
44 71319
45 76076
46 81049
47 86242
48 91661
49 97311
50 103196
51 109321
52 115690
53 122309
54 129183
55 136316
56 143713
57 151378
58 159317
59 167535
