0x00048D64: 0xD4 -> 0xBC (+ flag: 0x28) (- flag: 0x40)
0x00048D6C: 0xA4 -> 0xE0 (+ flag: 0x40) (- flag: 0x04)
0x00048D6D: 0x71 -> 0x42 (+ flag: 0x02) (- flag: 0x31)
0x00048D70: 0x52 -> 0x2C (+ flag: 0x2C) (- flag: 0x52)
0x00048D71: 0x82 -> 0xC0 (+ flag: 0x40) (- flag: 0x02)
0x00048D72: 0x02 -> 0x03 (+ flag: 0x01)
0x00048D7D: 0x2F -> 0x0E (- flag: 0x21)
0x00048D84: 0x01 -> 0x22 (+ flag: 0x22) (- flag: 0x01)
0x0004B38C: 0x00 -> 0x04 (+ flag: 0x04)
0x0004B3AF: 0x0F -> 0x8F (+ flag: 0x80)
0x0004B824: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B825: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B828: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B829: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B82C: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B82D: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B830: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B831: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B834: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B835: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B838: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B839: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B83C: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B83D: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B840: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B841: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
0x0004B844: 0xD8 -> 0x73 (+ flag: 0x23) (- flag: 0x88)
0x0004B845: 0x4E -> 0x56 (+ flag: 0x10) (- flag: 0x08)
